User Input,Chatbot Response,Timestamp
hi,Hey,2024-12-10 15:10:57
How are you,Hey,2024-12-10 15:11:05
I need help,I'm here to help. What's the problem?,2024-12-10 15:11:40
I want a dj set,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 15:11:51
I want a dico set,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 15:12:01
I want a disco set,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 15:12:07
hi,Nothing much,2024-12-10 15:54:06
hey,Hey,2024-12-10 15:54:14
how are you doing,Hi there,2024-12-10 15:54:25
hey,Hello,2024-12-10 15:54:39
help,I'm here to help. What's the problem?,2024-12-10 15:55:12
create me a budget,"As an AI, I don't watch movies, but I can suggest some popular ones like The Shawshank Redemption, Inception, or The Godfather.",2024-12-10 15:55:42
How do I create a budget,"A good budgeting strategy is to use the 50/30/20 rule. This means allocating 50% of your income towards essential expenses, 30% towards discretionary expenses, and 20% towards savings and debt repayment.",2024-12-10 15:56:16
